timestamp,a,b,membranePot
24092.16094,,,6
24093.1619,,,7
24094.59038,,,9
24095.59083,,,10
24096.25483,,,12
24097.25532,,,13
24098.26116,,,15
24098.59477,,,-85
24099.2613,,,-84
24100.22779,,,0
24101.22812,,,1
24102.57033,,,3
24103.57051,,,4
24104.23487,,,6
24105.23521,,,7
24106.41593,,,9
24107.41616,,,10
24108.10753,,,12
24109.10758,,,13
24110.11325,,,15
24110.96682,,,-85
24111.11393,,,-84
24112.47478,,,0
24113.47559,,,1
24114.4675,,,3
24115.46777,,,4
24116.26606,,,6
24117.26687,,,7
24118.46591,,,9
24119.46691,,,10
24120.29776,,,12
24121.2982,,,13
24122.25462,,,15
24122.30443,,,16
24123.25473,,,-84
24125.00105,,,0
24126.00168,,,1
24126.39882,,,4
24127.39928,,,5
24128.15643,,,6
24129.1568,,,7
24130.3854,,,9
24131.3856,,,10
24132.14341,,,12
24133.1436,,,13
24134.14927,,,15
24134.82015,,,-85
24135.15006,,,-84
24136.87281,,,0
24137.87336,,,1
24138.90789,,,3
24139.9081,,,4
24140.24034,,,6
24141.24044,,,7
24142.2353,,,9
24143.23578,,,10
24144.92746,,,12
24145.92798,,,13
24146.69941,,,15
24146.93408,,,16
24147.70005,,,-84
24148.97635,,,0
24149.97723,,,1
24150.70105,,,3
24151.70203,,,4
24152.72245,,,6
24153.72281,,,7
24154.49561,,,9
24155.49649,,,10
24156.70078,,,12
24157.70108,,,13
24158.5769,,,15
24158.70691,,,16
24159.5777,,,-84
24160.63731,,,0
24161.63752,,,1
24162.03542,,,3
24163.03633,,,4
24164.54711,,,6
24165.54808,,,7
24166.36553,,,9
24167.36629,,,10
24168.30847,,,12
24169.30896,,,13
24170.3135,,,15
24170.89216,,,-85
24171.31392,,,-84
24172.21265,,,0
24173.21276,,,1
24174.29402,,,3
24175.29416,,,4
24176.75796,,,6
24177.75867,,,7
24178.08998,,,9
24179.09066,,,10
24180.42631,,,12
24181.42661,,,13
24182.18872,,,15
24182.4322,,,16
24183.18929,,,-84
24184.82917,,,0
24185.83006,,,1
24186.30078,,,3
24187.30091,,,4
24188.29584,,,6
24189.29587,,,7
24190.71896,,,9
24191.71936,,,10
24192.16795,,,12
24193.16884,,,13
24194.17376,,,15
24194.78854,,,-85
24195.17396,,,-84
24196.44582,,,0
24197.44595,,,1
24198.39539,,,3
24199.39591,,,4
24200.80529,,,6
24201.80585,,,7
24202.84848,,,9
24203.84885,,,10
24204.0413,,,12
24205.04144,,,13
